movie_id	person_id	award_id
4106580	4194164	2329480
4114650	553072	2329480
201234	453160	281939
201234	313371	488651
201234	89017	277751
118976	713014	2329480
1619977	367032	22752811
727016	71275	103916
727016	457497	504298
727016	1325753	504298
4508597	1913835	478850
118829	1547897	830079
1198853	657828	131520
618741	71206	103618
618741	152888	106301
1150581	219521	106291
1897128	95019	2089918
15270796	4468016	960966
15270796	4195920	185493
1196539	1655499	107258
1196539	1052321	107258
1196539	156178	2089923
1196539	19185	107258
1196539	2536771	107258
1544333	52409	734335
1162937	743092	727328
1162937	921068	727328
637835	51492	103360
2875	367614	21995136
2875	431611	21995136
2875	62503	103360
2875	586320	277751
2875	1132960	107258
2875	1192220	281939
2875	129429	103618
2875	1680316	281939
2875	228904	106301
43228	116983	103916
43228	103876	1790292
4294237	1775732	2329480
4294237	4495528	2329480
4294237	55195	2329480
4294237	1959505	2329480
866120	1822152	504298
1573661	11300	22917729
1573661	8351	22917729
2096663	55198	2329480
50714	1818748	22752811
50714	1375195	22752811
50714	317026	106291
50714	332325	22752811
50714	331123	22752811
4189193	1196388	2329480
4128545	553072	2329480
4128545	553072	478850
4128545	1913835	478850
4128545	4460028	960966
666077	822271	830079
193695	1609199	488651
1140611	166000	21995139
1390900	817511	504298
1390900	216143	504298
4516921	51668981	960966
676039	51114	103360
676039	230159	106301
109116	882	1790281
391343	546204	41417
1471328	95089	103618
963688	274244	281939
498822	507861	107258
498822	102462	103916
4341553	1356617	488651
4341553	1367518	488651
4341553	1973924	488651
4341553	1973924	112243
940014	727904	22253133
940014	505108	22253133
204212	721897	21995139
615028	8651	830079
4445162	1775732	2329480
4445162	55195	2329480
4445162	4513036	2329480
463716	1390055	22917729
463716	1677235	22917729
463716	452471	21995136
463716	719424	22253131
2422817	367032	22752811
1150612	219521	106291
4536759	545844	56669004
1795987	367614	21995136
1795987	1356489	21995136
887227	727904	22253131
887227	462905	22253131
887227	2500741	22253131
24815	24829	41417
24815	956533	41417
1197377	296804	22235329
3713488	555056	2089923
40895	912572	4671338
40895	712851	4671338
1620394	272579	1419495
1620394	55230	504298
19804434	4530103	56669015
794707	232109	106301
583525	998799	504298
583525	459551	107258
583525	332043	107258
244448	1247808	22253133
244448	51114	103360
244448	505353	22253133
244448	367073	106291
244448	708870	21995139
244448	588246	22253133
2981123	8644	22917729
2981123	1871863	22917729
2981123	11284	22917729
1185386	350678	106291
939424	1421496	281939
939424	93957	103916
1509470	95076	103618
1637967	1677235	830079
515528	1346696	21995136
132689	1343692	107258
132689	795100	107258
132689	795022	107258
132689	51491	103360
1089543	298388	727328
1620416	233848	1419495
4286107	1711790	2329480
4286107	3655818	2329480
4286107	4213594	2329480
478371	657828	21995139
478371	86593	107258
