movie_id	person_id
1124142	1005544
112708421	1005544
16820264	1005544
1215635	1005544
20558722	1005544
261951	1005544
261951	762114
3306980	1005544
3822323	1005544
3793122	1005544
3823922	1005544
3828796	1005544
3874357	1005544
3236066	1005544
3236066	53007
3071953	1005544
4004212	1005544
3630985	1005544
7882184	1005544
7999010	1005544
7999010	762114
920474	1005544
25445020	100556129
6965650	100565168
100276888	100566035
1213236	1005680
29346596	1005680
3684604	1005680
3822293	1005680
3614116	1005680
3955532	1005680
3976798	1005680
738308	1005680
61456381	100587827
9395601	100587827
12614992	100589506
100683417	100589506
20444117	100589506
66763623	100600845
22497973	100604511
85804610	100604511
99770432	100606057
100270990	100606415
3794797	1006152
3598874	1006152
3698131	1006152
3695866	1006152
11880298	100657464
3948390	1006624
17479050	1006997
19303	1006997
19303	1255303
19303	1442590
19303	1522549
19303	1522649
19303	1525448
19303	1547925
19303	1560085
19303	1822962
19303	1987238
19303	2092907
19303	23301
19303	26208
19303	2850562
19303	3839996
19303	3851455
19303	3893785
19303	3894379
19303	3934549
19303	3939129
19303	3956295
19303	53009
19303	53028
19303	53031
19303	53037
19303	53048
19303	53049
19303	568869
19303	987795
19303	988072
3927808	1006997
686212	1006997
117468531	100703722
100703600	100703722
100706111	100706151
118399079	100708603
99795824	100708603
24942322	1007095
17479117	1007095
3615187	1007095
3794265	1007095
3790797	1007095
3849799	1007095
17986820	100710461
115249864	100715818
100718251	100717847
100721048	100719476
5245560	100720824
5245560	100720881
92624567	100720824
92624567	100720881
151682	1007270
116051270	1007270
1108660	1007270
1131221	1007270
15731457	1007270
1475627	1007270
27101975	1007270
3023600	1007270
3147146	1007270
3847724	1007270
3959943	1007270
3960870	1007270
3790868	1007270
3748892	1007270
3422425	1007270
3732809	1007270
389511	1007270
3780364	1007270
3793346	1007270
3612288	1007270
112730403	100741316
112730403	103898984
115694696	100741839
107304176	100741845
107304176	14593421
107304176	16935094
107304176	18008977
107304176	31637
107304176	445198
107304176	6499321
16996717	100741845
60737542	100741845
100740616	100742766
113141252	100742766
16847146	100742766
7760332	100751
106238031	1007516
120972999	1007516
2904585	1007516
16886562	1007516
20005685	1007516
4000753	1007516
3824480	1007516
3617552	1007516
3778282	1007516
4000804	1007516
3953442	1007516
3744754	1007516
3822395	1007516
3829118	1007516
3829118	28540501
3823770	1007516
63231346	1007516
119846209	100773316
15142320	100773567
15142320	26200
29346759	100773567
29346759	26200
98079445	100773567
98079445	26200
1592330	100773712
16874915	100773712
24905610	100773712
3522715	100773712
65153585	100773712
119520025	100777819
113400949	100779959
113400616	100779959
104776293	100785793
64212269	100792115
16487836	1007923
16487836	1010696
16487836	1098007
16487836	26208
16487836	3156247
16487836	3745859
16487836	53048
16487836	977948
14453450	1007923
213304	1007923
1765941	1007923
21696425	1007923
3712806	1007923
3623815	1007923
3791130	1007923
55831184	1007923
