award_id	award_name
2947527	Kansas City Film Critics Circle Award for Best Director
787098	BAFTA Award for Best Original Music
22752734	Academy Award for Best Original Score, no Musical
8038461	Writers Guild of America Award for Best Original Screenplay
787104	BAFTA Award for Best Costume Design
3703465	David di Donatello for Best Foreign Director
6359242	Sitges Film Festival Best Feature-Length Film award
24051551	Sitges Film Festival Best Actor award
11038927	National Film Award for Best Actor
16965862	Silver Condor Award for Best Adapted Screenplay
1967731	National Society of Film Critics Award for Best Actor
1967148	National Film Award for Best Cinematography
787123	BAFTA Award for Best Actress in a Supporting Role
4887637	Bengal Film Journalists' Association – Best Supporting Actress Award
1590605	NAACP Image Award for Outstanding Supporting Actor in a Motion Picture
1983066	New York Film Critics Circle Award for Best Film
1967719	National Society of Film Critics Award for Best Supporting Actress
305457	Kansas City Film Critics Circle Awards 1972
12344311	Bodil Honorary Award
165313	National Society of Film Critics Award for Best Supporting Actor
24051550	Sitges Film Festival Best Director award
1415017	Writers Guild of America Award
768476	David di Donatello for Best Film
4835526	BFJA Awards for Best Actor
22344608	Academy Award for Best Original Song Score
5280675	Directors Guild of America Award for Outstanding Directing – Feature Film
1792577	Art Prize of the German Democratic Republic
1983113	New York Film Critics Circle Award for Best Supporting Actor
548389	BAFTA Award for Best Actor in a Supporting Role
933084	National Film Award for Best Music Direction
489713	National Film Award for Best Actress
110145	MTV Movie & TV Awards
1653137	NAACP Image Award for Outstanding Actor in a Motion Picture
5593816	Grammy Award for Best Arrangement, Instrumental or A Cappella
1204822	German Film Award for Best Editing
1554228	Guldbagge Award for Best Director
672083	Filmfare Special Award
1472235	Golden Globe Award for Best Original Song
6343186	Ariel Award for Best Supporting Actress
24051554	Sitges Film Festival Best Screenplay award
5796550	Círculo de Escritores Cinematográficos
889836	Bodil Award for Best Actress in a Supporting Role
1268927	National Society of Film Critics Award for Best Actress
19951437	French Syndicate of Cinema Critics Awards
2947541	Kansas City Film Critics Circle Award for Best Actress
24051552	Sitges Film Festival Best Actress award
61071512	International Adana Film Festival Best Film Award
1789102	National Board of Review Award for Best Film
472379	Grimme-Preis
20744362	New York Film Critics Circle Awards
20057153	The Theatre Critics' Awards
11789175	Zbigniew Cybulski Award
739633	BAFTA Award for Best Sound
787145	BAFTA Award for Best Editing
1966054	Silver Ribbon for best foreign film director
4377065	Lenin Komsomol Prize
16509832	Jean-Le-Duc award
900414	César Award for Best Foreign Film
24137	César Award for Best Director
900369	César Award for Best Writing
900352	César Award for Best Production Design
900424	César Award for Best Supporting Actor
84000	César Award for Best Supporting Actress
2116650	Saturn Award for Best Make-up
1258647	Saturn Award for Best Supporting Actor
1265702	Saturn Award for Best Director
644077	Nebula Award for Best Script
2108656	Ariel Award for Best Picture
110885023	Ariel Award for Best Screenplay
225085	César Award for Best Cinematography
900378	César Award for Best Sound
105447	Saturn Award
1257399	Saturn Award for Best Supporting Actress
24241	César Award for Best Actress
23091	César Award for Best Music Written for a Film
900494	César Award for Best Actor
1659572	NAACP Image Award for Outstanding Actress in a Motion Picture
18814874	Jussi Award for Best Team
900447	César Award for Best Editing
1414383	Filmband in Gold
645595	César Award for Best Film
4649795	AACTA Award for Best Actress in a Supporting Role
4649792	AACTA Award for Best Actor in a Supporting Role
4649800	AACTA Award for Best Actress in a Leading Role
508166	BAFTA Award for Best Production Design
3600406	AACTA Award for Best Film
4649797	AACTA Award for Best Actor in a Leading Role
4824156	Australian Film Institute Award for Best Screenplay
4649799	AACTA Award for Best Cinematography
4649807	AACTA Award for Best Direction
122001648	GLAAD Media Award for Outstanding Broadway Production
1452845	Art Award of the FDGB
1259362	Saturn Award for the Best Actor
41375	BAFTA Award for Best Original Screenplay
505395	Los Angeles Film Critics Association Award for Best Foreign Language Film
3703453	David di Donatello for Best Costume Designer
4649794	AACTA Award for Best Adapted Screenplay
1070889	Taormina Film Fest
6393466	Kerala State Film Award for Best Story
251371	National Film Award for Best Feature Film in Malayalam
6393444	Kerala State Film Award for Best Director
13641241	Kerala State Film Award for Best Film
130871	Berlin International Film Festival
